azurerm_aadb2c_directory,Microsoft.AzureActiveDirectory/b2cDirectories
azurerm_active_directory_domain_service,Microsoft.AAD/DomainServices
azurerm_active_directory_domain_service_replica_set,Microsoft.AAD/DomainServices
azurerm_active_directory_domain_service_trust,Microsoft.AAD/DomainServices
azurerm_advanced_threat_protection,Microsoft.Security/advancedThreatProtectionSettings
azurerm_analysis_services_server,false
azurerm_api_connection,false
azurerm_api_management,Microsoft.ApiManagement/service
azurerm_api_management_api,false
azurerm_api_management_api_diagnostic,false
azurerm_api_management_api_operation,false
azurerm_api_management_api_operation_policy,false
azurerm_api_management_api_operation_tag,false
azurerm_api_management_api_policy,false
azurerm_api_management_api_release,false
azurerm_api_management_api_schema,false
azurerm_api_management_api_tag,false
azurerm_api_management_api_tag_description,false
azurerm_api_management_api_version_set,false
azurerm_api_management_authorization_server,false
azurerm_api_management_backend,false
azurerm_api_management_certificate,false
azurerm_api_management_custom_domain,false
azurerm_api_management_diagnostic,false
azurerm_api_management_email_template,false
azurerm_api_management_gateway,false
azurerm_api_management_gateway_api,false
azurerm_api_management_gateway_certificate_authority,false
azurerm_api_management_gateway_host_name_configuration,false
azurerm_api_management_global_schema,false
azurerm_api_management_group,false
azurerm_api_management_group_user,false
azurerm_api_management_identity_provider_aad,false
azurerm_api_management_identity_provider_aadb2c,false
azurerm_api_management_identity_provider_facebook,false
azurerm_api_management_identity_provider_google,false
azurerm_api_management_identity_provider_microsoft,false
azurerm_api_management_identity_provider_twitter,false
azurerm_api_management_logger,false
azurerm_api_management_named_value,false
azurerm_api_management_notification_recipient_email,false
azurerm_api_management_notification_recipient_user,false
azurerm_api_management_openid_connect_provider,false
azurerm_api_management_policy,false
azurerm_api_management_product,false
azurerm_api_management_product_api,false
azurerm_api_management_product_group,false
azurerm_api_management_product_policy,false
azurerm_api_management_product_tag,false
azurerm_api_management_redis_cache,false
azurerm_api_management_subscription,false
azurerm_api_management_tag,false
azurerm_api_management_user,false
azurerm_app_configuration,false
azurerm_app_configuration_feature,false
azurerm_app_configuration_key,false
azurerm_app_service,false
azurerm_app_service_active_slot,false
azurerm_app_service_certificate,false
azurerm_app_service_certificate_binding,false
azurerm_app_service_certificate_order,false
azurerm_app_service_connection,false
azurerm_app_service_custom_hostname_binding,false
azurerm_app_service_environment,false
azurerm_app_service_environment_v3,false
azurerm_app_service_hybrid_connection,false
azurerm_app_service_managed_certificate,false
azurerm_app_service_plan,Microsoft.Web/serverFarms
azurerm_app_service_public_certificate,false
azurerm_app_service_slot,false
azurerm_app_service_slot_custom_hostname_binding,false
azurerm_app_service_slot_virtual_network_swift_connection,false
azurerm_app_service_source_control,false
azurerm_app_service_source_control_slot,false
azurerm_app_service_source_control_token,false
azurerm_app_service_virtual_network_swift_connection,false
azurerm_application_gateway,false
azurerm_application_insights,microsoft.insights/components
azurerm_application_insights_analytics_item,false
azurerm_application_insights_api_key,false
azurerm_application_insights_smart_detection_rule,microsoft.alertsmanagement/smartDetectorAlertRules
azurerm_application_insights_web_test,false
azurerm_application_insights_workbook,false
azurerm_application_insights_workbook_template,false
azurerm_application_security_group,false
azurerm_attestation_provider,false
azurerm_automation_account,false
azurerm_automation_certificate,false
azurerm_automation_connection,false
azurerm_automation_connection_certificate,false
azurerm_automation_connection_classic_certificate,false
azurerm_automation_connection_service_principal,false
azurerm_automation_connection_type,false
azurerm_automation_credential,false
azurerm_automation_dsc_configuration,false
azurerm_automation_dsc_nodeconfiguration,false
azurerm_automation_hybrid_runbook_worker,false
azurerm_automation_hybrid_runbook_worker_group,false
azurerm_automation_job_schedule,false
azurerm_automation_module,false
azurerm_automation_runbook,false
azurerm_automation_schedule,false
azurerm_automation_software_update_configuration,false
azurerm_automation_source_control,false
azurerm_automation_variable_bool,false
